Indicator,research.question,sub.research.question,hypothesis,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
General Information,% of sites by reported site management entity ,% of sites by reported site management entity ,% of sites by reported site management entity ,,a1_governorate_name,categorical,b1_site_management,categorical,direct_reporting
General Information,% of sites reporting an occupancy agreement,% of sites reporting an occupancy agreement,% of sites reporting an occupancy agreement,,a1_governorate_name,categorical,c3_tenancy_agreement_for_at_least_6_months,categorical,direct_reporting
General Information,% of sites reported as spontaneous vs collective centres,% of sites reported as spontaneous vs collective centres,% of sites reported as spontaneous vs collective centres,,a1_governorate_name,categorical,c1_type_of_site,categorical,direct_reporting
General Information,% of reported type of landowner,% of reported type of landowner,% of reported type of landowner,,a1_governorate_name,categorical,c2_landowner,categorical,direct_reporting
Population other than IDPs,% of sites reporting migrants other than IDPs,% of sites reporting migrants other than IDPs,% of sites reporting migrants other than IDPs,,a1_governorate_name,categorical,a8_population_groups_other_than_idps_in_site_select_all_applicable.migrants,categorical,direct_reporting
Population other than IDPs,% of sites reporting refugees other than IDPs,% of sites reporting refugees other than IDPs,% of sites reporting refugees other than IDPs,,a1_governorate_name,categorical,a8_population_groups_other_than_idps_in_site_select_all_applicable.refugees,categorical,direct_reporting
Population other than IDPs,% of sites reporting host communities other than IDPs,% of sites reporting host communities other than IDPs,% of sites reporting host communities other than IDPs,,a1_governorate_name,categorical,a8_population_groups_other_than_idps_in_site_select_all_applicable.host_community,categorical,direct_reporting
Population other than IDPs,% of sites reporting only IDPs,% of sites reporting only IDPs,% of sites reporting only IDPs,,a1_governorate_name,categorical,a8_population_groups_other_than_idps_in_site_select_all_applicable.none,categorical,direct_reporting
Site Infrastructures,% of sites reporting a general market in close proximity,% of sites reporting a general market in close proximity,% of sites reporting a general market in close proximity,,a1_governorate_name,categorical,c4_general_market_in_site_close_proximity,categorical,direct_reporting
Site Infrastructures,% of sites reporting fuel available in close proximity,% of sites reporting fuel available in close proximity,% of sites reporting fuel available in close proximity,,a1_governorate_name,categorical,c5_fuel_available_in_site_close_proximity,categorical,direct_reporting
Site Infrastructures,% of sites reporting electricty an solar power available in site,% of sites reporting electricty an solar power available in site,% of sites reporting electricty an solar power available in site,,a1_governorate_name,categorical,c6_electricity_solar_power_available_in_site,categorical,direct_reporting
Site Infrastructures,Most commonly reported primary water source,Most commonly reported primary water source,Most commonly reported primary water source,,a1_governorate_name,categorical,c8_primary_water_source,categorical,direct_reporting
Site Infrastructures,Most commonly reported primary shelter type,Most commonly reported primary shelter type,Most commonly reported primary shelter type,,a1_governorate_name,categorical,c9_primary_shelter_type,categorical,direct_reporting
Site Infrastructures,Most commonly reported primary latrine type,Most commonly reported primary latrine type,Most commonly reported primary latrine type,,a1_governorate_name,categorical,c10_primary_latrine_type,categorical,direct_reporting
Adequacy of service,Level of reported adequacy of rrm distribution,Level of reported adequacy of rrm distribution,Level of reported adequacy of rrm distribution,,a1_governorate_name,categorical,rrm_distributions,categorical,direct_reporting
