Indicator,research.question,sub.research.question,hypothesis,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
General Information,% of sites by reported site management entity ,% of sites by reported site management entity ,% of sites by reported site management entity ,,country_name,categorical,b1_site_management,categorical,direct_reporting
General Information,% of sites reporting an occupancy agreement,% of sites reporting an occupancy agreement,% of sites reporting an occupancy agreement,,country_name,categorical,c3_tenancy_agreement_for_at_least_6_months,categorical,direct_reporting
General Information,% of sites reported as spontaneous vs collective centres (formal),% of sites reported as spontaneous vs collective centres (formal),% of sites reported as spontaneous vs collective centres (formal),,country_name,categorical,c1_1_type_of_site,categorical,direct_reporting
General Information,% of sites reported as spontaneous vs collective centres (informal),% of sites reported as spontaneous vs collective centres (informal),% of sites reported as spontaneous vs collective centres (informal),,country_name,categorical,c1_2_type_of_site,categorical,direct_reporting
General Information,% of reported type of landowner,% of reported type of landowner,% of reported type of landowner,,country_name,categorical,c2_landowner,categorical,direct_reporting
Population other than IDPs,% of sites reporting migrants other than IDPs,% of sites reporting migrants other than IDPs,% of sites reporting migrants other than IDPs,,country_name,categorical,a8_population_groups_other_than_idps_in_site_select_all_applicable.migrants,categorical,direct_reporting
Population other than IDPs,% of sites reporting refugees other than IDPs,% of sites reporting refugees other than IDPs,% of sites reporting refugees other than IDPs,,country_name,categorical,a8_population_groups_other_than_idps_in_site_select_all_applicable.refugees,categorical,direct_reporting
Population other than IDPs,% of sites reporting host communities other than IDPs,% of sites reporting host communities other than IDPs,% of sites reporting host communities other than IDPs,,country_name,categorical,a8_population_groups_other_than_idps_in_site_select_all_applicable.host_community,categorical,direct_reporting
Population other than IDPs,% of sites reporting only IDPs,% of sites reporting only IDPs,% of sites reporting only IDPs,,country_name,categorical,a8_population_groups_other_than_idps_in_site_select_all_applicable.none,categorical,direct_reporting
Site Infrastructures,% of sites reporting a general market in close proximity,% of sites reporting a general market in close proximity,% of sites reporting a general market in close proximity,,country_name,categorical,c4_general_market_in_site_close_proximity,categorical,direct_reporting
Site Infrastructures,% of sites reporting fuel available in close proximity,% of sites reporting fuel available in close proximity,% of sites reporting fuel available in close proximity,,country_name,categorical,c5_fuel_available_in_site_close_proximity,categorical,direct_reporting
