list_name,name,label::english,,label::arabic
gender,male,Male,,
gender,female,Female,,
q1208R,migrants,Migrants,,
q1208R,refugees,Refugees,,
q1208R,host_community,Host community,,
q1208R,none,None,,
q05E,present,Present,,
q05E,non_existent,Non-existent,,
qge11,government,Government,,
qge11,private,Private,,
qge11,ngo_un_agency,NGO/UN agency,,
qf1234,conflict_related_incidents,Conflict-related incidents,,
qf1234,infectious_diseases,Infectious diseases (e.g. cholera),,
qf1234,fire_related_incidents,Fire-related incidents,,
qf1234,water_contamination,Water contamination,,
qf1234,flooding,Flooding,,
qf1234,friction_between_communities,Friction between communities,,
qf1234,eviction,Eviction,,
qf1235,none,None,,
qf1234,other,Other,,
ad_in_non,adequate,Adequate,,
ad_in_non,inadequate,Inadequate,,
ad_in_non,non_existent,Non-existent,,
qc01R,collective_centre,Collective centre,,
qc01R,spontaneous_settlement,Spontaneous settlement,,
qc03R,private_individual,Private,,
qc03R,public_institution,Public ,,
qc03R,do_not_know,Owner not know,,
yes_no,yes,Yes,,
yes_no,no,No,,
qc06R,unaccompanied_separated_children,Unaccompanied/separated children,,
qc06R,child_headed_hh,Child headed households,,
qc06R,female_headed_hh,Female headed households,,
qc06R,marginalized_people,Marginalized people,,
qc06R,pregnant_and_lactating_women,Pregnant and Lactating Women,,
qc06R,persons_with_disabilities,Persons with disabilities,,
qc06R,elderly,Elderly,,
qc06R,persons_with_chronic_diseases_serious_medical_conditions,Persons with chronic diseases/serious medical conditions,,
qc06R,none,None,,
qd01R,security_concerns_conflict_explosives_lack_of_security_forces,"Security concerns (conflict, explosives, lack of security forces)",,
qd01R,evacuated_for_protection,Evacuated for protection,,
qd01R,evicted_from_property,Evicted from property,,
qd01R,house_livelihood_assets_destroyed_occupied,House/livelihood assets destroyed/occupied,,
qd01R,lack_of_basic_services,Lack of basic services,,
qd01R,lack_of_commodities,Lack of commodities,,
qd01R,lack_of_employment,Lack of employment,,
qd01R,natural_disaster,Natural disaster,,
qd03R,stay_in_the_site,Stay in the site,,
qd03R,return_to_origin,Return to origin,,
qd03R,move_elsewhere,Move elsewhere,,
qi01R,food,Food,,
qi01R,water,Water,,
qi01R,shelter_maintenance_assistance,Shelter / maintenance assistance,,
qi01R,non_food_items,Non-food items,,
qi01R,sanitation_services,Sanitation services,,
qi01R,nutrition_services,Nutrition services,,
qi01R,medical_assistance,Medical assistance,,
qi01R,livelihood_assistance,Livelihood assistance,,
qi01R,cash_assistance,Cash assistance,,
qi01R,legal_services,Legal services,,
qi01R,protection_services,Protection services,,
qi01R,education,Education,,
qi01R,other,Other,,
qi01R,none,None,,
qg300R,piped_water_into_compound,Piped water into compound/public tap,,
qg300R,borehole,Borehole,,
qg300R,protected_well,Protected rainwater tank/well/spring,,
qg300R,bottled_water,Bottled water,,
qg300R,water_trucking,Water Trucking,,
qg300R,illegal_connection_to_piped_network,Illegal connection to piped network,,
